,Tata Open,Tata High,Tata Low,Tata Close,Tata Adj Close,Tata Volume
12/23/2022,3217,3266.850098,3217,3228.350098,3164.25293,1360281
12/22/2022,3294,3294,3245.100098,3259.699951,3194.980225,1384101
12/21/2022,3249,3283.050049,3240,3268.550049,3203.654785,1432566
12/20/2022,3198.899902,3249,3163.649902,3243.949951,3179.542969,1529971
12/19/2022,3227,3245.5,3194.5,3202.050049,3138.475098,2120965
12/16/2022,3275,3292,3225.199951,3240.25,3175.916504,2703680
12/15/2022,3358.800049,3364.75,3298.949951,3305.100098,3239.479004,1415694
12/14/2022,3348.800049,3377,3340.899902,3365.350098,3298.532715,1213311
12/13/2022,3277.199951,3336.449951,3267.800049,3332.100098,3265.942871,1378016
12-12-2022,3255.5,3296,3236.100098,3286.449951,3221.199219,1527610
12-09-2022,3374.100098,3374.100098,3276.350098,3292.75,3227.374023,1797896
12-08-2022,3360,3380.600098,3339.449951,3350.550049,3284.026611,1285619
12-07-2022,3368.300049,3393.699951,3354,3380.600098,3313.47998,1167505
12-06-2022,3400.050049,3407.949951,3368,3385.350098,3318.135742,1166999
12-05-2022,3433,3439.149902,3407,3425.899902,3357.880371,1475065
12-02-2022,3458.100098,3468.899902,3413,3439.149902,3370.867432,2411749
12-01-2022,3425,3480,3420,3475.649902,3406.642578,2180856
11/30/2022,3383,3414.899902,3375,3390.800049,3323.477539,3410702
11/29/2022,3383,3429,3383,3397.350098,3329.897461,1576028
11/28/2022,3366,3417,3365.550049,3395.25,3327.839111,2195437
11/25/2022,3383,3403.350098,3348,3389.649902,3322.350098,1588981
11/24/2022,3316.25,3392.949951,3308.300049,3380.149902,3313.038818,1296591
11/23/2022,3330,3330,3291,3308.300049,3242.615479,1150011
11/22/2022,3280,3318.949951,3255.25,3314.949951,3249.133301,1149739
11/21/2022,3322.5,3333.699951,3273,3283.5,3218.307861,1304194
11/18/2022,3350,3362.75,3321,3343.449951,3277.067383,1164540
11/17/2022,3340,3360,3317.75,3349,3282.507324,1417986
11/16/2022,3338.899902,3367.899902,3321.449951,3355.350098,3288.731445,1748235
11/15/2022,3321,3339.949951,3292,3332.600098,3266.433105,1400708
11/14/2022,3324,3349,3309,3335.5,3269.275391,1342074
11-11-2022,3269.600098,3341.600098,3255.050049,3315.949951,3250.113525,3265394
11-10-2022,3170,3225,3170,3205.649902,3142.003418,1573092
11-09-2022,3249.800049,3249.800049,3201.649902,3216.050049,3152.197021,1162267
11-07-2022,3229,3242.800049,3195.100098,3233.699951,3169.496582,1474498
11-04-2022,3217,3220.050049,3166.149902,3217.399902,3153.52002,1464013
11-03-2022,3228.050049,3228.050049,3195,3206.75,3143.081543,1422652
11-02-2022,3270,3270,3222.050049,3241.699951,3177.337646,1405955
11-01-2022,3214.5,3262.600098,3203.449951,3259.699951,3194.980225,2991060
10/31/2022,3199,3199,3177.800049,3193.149902,3129.751465,1919414
10/28/2022,3150,3178.5,3145,3163.25,3100.445313,1355739
10/27/2022,3160.699951,3174,3134.350098,3157.399902,3094.711426,2438421
10/25/2022,3180.5,3184.25,3151.149902,3162.100098,3099.318115,2069643
10/24/2022,3170.100098,3178,3155,3161.699951,3098.926025,260949
10/21/2022,3157.800049,3160.399902,3127,3137.399902,3075.108398,1021913
10/20/2022,3105,3160,3105,3157.300049,3094.613525,1587601
10/19/2022,3159,3159,3112,3121.850098,3059.867432,1194289
10/18/2022,3150,3155.350098,3128.550049,3144.699951,3082.263672,1793722
10/17/2022,3072.649902,3128.399902,3071.449951,3111.75,3049.967773,1517005
10/14/2022,3145,3150,3071,3099.149902,3029.776611,2245977
10/13/2022,3100.75,3110,3052.350098,3103.300049,3033.833984,2054781
10-12-2022,3084.899902,3109.899902,3062.050049,3100.75,3031.341064,1665247
10-11-2022,3100,3145,3053.350098,3069.550049,3000.839355,4730645
10-10-2022,3010,3127,3005,3118.550049,3048.742676,3064063
10-07-2022,3097.399902,3105,3058.100098,3064.899902,2996.293457,1939879
10-06-2022,3111,3124,3092.449951,3101.949951,3032.513916,1790816
10-04-2022,3029.949951,3098,3023,3091.149902,3021.955811,2145875
10-03-2022,2995,3020.699951,2974,2984.949951,2918.133057,1763331
9/30/2022,2990.850098,3019.699951,2950.100098,3004.550049,2937.294434,2817353
9/29/2022,3054,3055.850098,2990,2997.300049,2930.206787,2493902
9/28/2022,2980,3049.949951,2980,3035.649902,2967.697998,2739767
9/27/2022,3009.399902,3025,2976,3017.449951,2949.905518,2227447
9/26/2022,2959.850098,3025.850098,2926.100098,2994.399902,2927.371338,2925489
9/23/2022,3004,3022.5,2979,2982.050049,2915.298096,2652374
9/22/2022,2990,3029.949951,2979.300049,3007.399902,2940.080566,2017983
9/21/2022,3028,3041.399902,2998.149902,3001.199951,2934.019531,2253818
9/20/2022,3050,3079.949951,3030,3040.300049,2972.244141,1544295
9/19/2022,3036,3042,2987.800049,3028.800049,2961.001709,2072220
9/16/2022,3076,3094.350098,3000,3008.699951,2941.351318,5322221
9/15/2022,3130,3137.75,3100,3104.350098,3034.860596,2138023
9/14/2022,3135,3141.399902,3113.800049,3120.399902,3050.551025,5090269
